"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "FLAPO" "ALBEN" "CHELA" "JLAKE" "PALIS" "IPARK" "RIRDM" "AMERI" "MINAD" "BOISE" "PAYHS" "OWYHE" "PELTO"
1979-08-05 8 1 5 1979 20075000 7327300 1424900 817000 5869400 3071500 9107400 3468000 1420000 1792000 1540000 1676000 850000 1401000 135205 100500 1672590 95180 1011000 847192 1120000 558270
1979-08-12 8 2 12 1979 20071868.8183489 7326034.29848322 1424436.36545945 638280 5671467 2933124.90438303 8549430 2782067 1420000 1792000 1540000 1661833 819954.388859795 1351477.76328538 130425.803700928 96947.5483298934 1521411.05038781 95180 967553.348121044 800452 1097468.37487305 558270
1979-08-19 8 3 19 1979 20039451.0532612 7327300 1404852.1985881 682960 5572500 2910063.13409714 8409937 2667744 1392402 1792000 1540000 1654750 809100.108064655 1333587.35458657 128699.270718684 95664.1892476444 1477977.39916515 95180 952946.785934755 794130.192176596 1092624.51439929 558270
1979-08-26 8 4 26 1979 20058344.6199153 7321562 1419267.50461629 727350.287298427 5473533 2887000.36381124 8270445 2553422 1392402 1792000 1540000 1647667 798124.493205436 1315496.95880096 126953.437769225 94366.4841966427 1409691.80227932 95180 932640.020994555 783931.337006495 1085344.453589 558270
1979-09-02 9 5 2 1979 20029694.1517142 7315823 1406670.67655684 768097.006012295 5374567 2863937.85657455 8130952 2439100 1392402 1792000 1540000 1640583 788779.474660427 1300094.16941089 125466.975142898 93261.5731804387 1337711.05540938 95180 914168.247366521 776250.929341229 1081261.6342525 558270
1979-09-09 9 6 9 1979 19937164.569453 7239906 1344965.71066125 737712 5275600 2840875.08628865 8239435 2387014 1370869.71763585 1792000 1482126 1633500 781441.677619978 1287999.75334775 124299.790614834 92393.9865891857 1259029.66170929 95180 886899.508877706 764690.361348717 1069377.3887373 558270
1979-09-16 9 7 16 1979 19826300.7037911 7163989 1283828.20444588 764141 5176633 2817813.31600276 8347918 2334849 1321739.43527169 1792000 1424251 1617133 768837.517928067 1267225.13249085 122294.913660546 90903.7300609067 1190974.27003793 95180 860051.870989787 751193.455885469 1059620.03959717 558270
1979-09-23 9 8 23 1979 19665825.12611 7088071 1190824.45600356 790571 5077667 2794750.54571686 8456401 2282683 1272609.15290754 1792000 1366377 1600767 754150.431614096 1243017.35846041 119958.716595746 89167.1980908431 1140566.30980035 95180 823525.925645501 732282.137129295 1052221.92826834 557970
1979-09-30 9 9 30 1979 19534853.9690415 7012154 1115014.31910214 795467.786436124 5062722.1603624 2726227 8564884 2230518 1223478.87054338 1792000 1308502 1584400 742085.852240781 1223132.09292863 118039.667826135 87740.7390002336 1100520.39933893 95180 811802.183101603 728651.712249335 1050000 557670
1979-10-07 10 10 7 1979 19345864.4822695 6937496 1052800.49210785 797389.033095355 5044577.86585575 2722854.04722809 8673368 2219031.41021561 1203500.9687614 1766659.74492374 1199292 1574007 732930.847411872 1208042.4908518 116583.429675673 86658.294311639 1062670.23585188 95180 807599.347811254 725964.950723031 1048871.96273094 555363.572882197
1979-10-14 10 11 14 1979 19138882.0167041 6862838 990900.664750611 791861.045562101 5022608.16620146 2719257.58843969 8781851 2207307.11305849 1183523.06697941 1739906.83927049 1090082 1563613 723487.910321564 1192478.30865943 115081.391664738 85541.805867432 1008146.58308763 95180 801049.203521649 720629.885146911 1042626.12713432 545014.184169382
1979-10-21 10 12 21 1979 18959289.8529813 6788181 955873.293580064 795382.941192889 5007204.08305504 2717570.16778073 8890334 2209982.34651765 1163545.16519743 1723350.06313939 980873 1553220 721911.009241459 1189879.20464386 114830.562358225 85355.3605044313 994418.77254643 95180 796182.392974683 717720.970486949 1039929.09600296 556770
1979-10-28 10 13 28 1979 18825821.0550944 6713523 948179.833594326 817000 4998999.06223185 2718578.496891 8943846 2227949.77139743 1143567.26341545 1713461.6335826 871663 1542827 721506.266726001 1189212.09374486 114766.182109046 85307.5056540742 989561.94271982 95180 794982.001101688 717447.14292027 1039320.54555345 556470
1979-11-04 11 14 4 1979 18700875.8202348 6638865 937527.088410613 817000 4985966.36553544 2717092.27864767 8943846 2227920.16704396 1123589.36163346 1700808.33715442 762453 1532433 721102.005971272 1188545.77690088 114701.878490995 85259.7077648386 986650.643544242 95180 711000 717376.755763919 1039013.04459022 556170
1979-11-11 11 15 11 1979 18519046.8882683 6144659.62179285 906584.963318449 817000 4957293.07835231 2711956 8904440 2218480.82387486 1157216.19142928 1681835.55707144 772762.600453517 1522040 723032.933183855 1201956.37899524 119583.790016165 59960 1073177.14336143 95180 711000 719140.440460564 1040006.56171927 555870
1979-11-18 11 16 18 1979 18221878.8845545 6e+06 845050.806500457 815745.146997508 4925764.96384236 2653781 8802960 2208016.27134176 1190842.0212251 1690308.09367776 630751 1511647 724710.278991589 1213550.40646477 123634.448987476 59960 1123072.11919532 95180 711000 718834.91795057 1040729.84582863 555570
1979-11-25 11 17 25 1979 17861936.2346621 6e+06 773147.737732726 816650.238013481 4893506.71665592 2595605 8701480 2200675.51149914 1224468.85102091 1699599.74894533 564899 1501253 726235.530719811 1223977.11897635 127777.051975557 59960 1174825.73404607 95180 711000 719993.946291793 1041472.91250538 555270
1979-12-02 12 18 2 1979 17535448.8570699 6e+06 715886.36372483 817000 4860838.20882417 2537430 8600000 2189671.53821236 1258094.68081673 1708756.01373147 499048 1490860 727926.466044069 1233226.8934656 131812.332600703 59960 1221763.69486179 95180 711000 610000 1043454.34843541 552552.967558368
1979-12-09 12 19 9 1979 17321420.3202095 5223598.45535148 708767.348874663 817000 4740955 2423590 8628571 2219460 1291721.51061255 1722582.22615295 499048 1480467 730395.515483898 1247186.47500775 135205 59960 1275893.97155858 95180 711000 610000 1050000 554670
1979-12-16 12 20 16 1979 17088017.5049894 4666931.75954639 694222.711034929 817000 4434658 2309751 8660309.25779493 2213560 1315344 1732355.70169355 499048 1470073 732793.624108034 1258808.42450525 135205 59960 1330430.72197128 95180 711000 610000 1050000 554370
1979-12-23 12 21 23 1979 16823502.306743 4188271.02093818 660262.850660465 817000 4218105.53588063 2195911 8700323.94202284 2207659 1301510 1734518 499048 1459680 735275.349011902 1271724.57356976 135205 59960 1382466.44526332 95180 711000 610000 1050000 551179
1979-12-30 12 22 30 1979 16518685.1172884 4e+06 603606.541818546 817000 3856039.74510225 2083480 8714286 2201758 1287675 1716865 499048 1449287 737643.033553357 1282642.6036179 135205 59960 1438043.07430409 95180 711000 610000 1050000 544946.755958141
1980-01-06 1 23 6 1980 16234114.5691717 4286721.98171052 376536.357945874 810693 3821149.21631652 2040650.08356346 7450294 2107940 1255979 1657718 499048 1438893 742539.067753907 1301958.10609076 135205 59960 1498373.4113325 95180 717987.528991581 610000 1050000 520730.928363672
1980-01-13 1 24 13 1980 15713186.5560204 4512824 359657.226886203 804386 3759503.80459926 1941220.77524181 7450294 2107940 1224283 1598571 499048 1428500 747790.430398534 1322607.67418244 135205 59960 1561112.39909811 95180 726807.09333138 610000 1050000 501603.022677737
1980-01-20 1 25 20 1980 15441107.9471733 4109505 347403.751287117 779185 3723305.9758916 1880554.25244933 7450294 2107940 1192587 1539424 499048 1418107 752942.145963563 1345800.85969119 135205 59960 1646502.88281105 95180 756534.108400522 610000 1050000 538415
1980-01-27 1 26 27 1980 15165370.9755729 3706187 326217.331495093 741641 3685187.56841399 1813690.61897487 7450294 2104694.28306788 1255069.89405489 1480277 555007.094834957 1407713 757912.56137504 1365572.54526709 135205 59960 1672590 95180 768584.089889825 610000 1050000 535225
